"행정구역","2025년10월_계_총인구수","2025년10월_계_연령구간인구수","2025년10월_계_0세","2025년10월_계_1세","2025년10월_계_2세","2025년10월_계_3세","2025년10월_계_4세","2025년10월_계_5세","2025년10월_계_6세","2025년10월_계_7세","2025년10월_계_8세","2025년10월_계_9세","2025년10월_계_10세","2025년10월_계_11세","2025년10월_계_12세","2025년10월_계_13세","2025년10월_남_총인구수","2025년10월_남_연령구간인구수","2025년10월_남_0세","2025년10월_남_1세","2025년10월_남_2세","2025년10월_남_3세","2025년10월_남_4세","2025년10월_남_5세","2025년10월_남_6세","2025년10월_남_7세","2025년10월_남_8세","2025년10월_남_9세","2025년10월_남_10세","2025년10월_남_11세","2025년10월_남_12세","2025년10월_남_13세","2025년10월_여_총인구수","2025년10월_여_연령구간인구수","2025년10월_여_0세","2025년10월_여_1세","2025년10월_여_2세","2025년10월_여_3세","2025년10월_여_4세","2025년10월_여_5세","2025년10월_여_6세","2025년10월_여_7세","2025년10월_여_8세","2025년10월_여_9세","2025년10월_여_10세","2025년10월_여_11세","2025년10월_여_12세","2025년10월_여_13세"
"경기도 용인시 (4146000000)","1,092,409","120,862","5,756","5,723","5,682","6,160","6,610","6,925","7,736","8,409","9,435","10,673","11,613","11,560","11,809","12,771","541,037","61,581","2,933","2,876","2,856","3,177","3,379","3,495","3,916","4,301","4,852","5,469","5,941","5,876","5,991","6,519","551,372","59,281","2,823","2,847","2,826","2,983","3,231","3,430","3,820","4,108","4,583","5,204","5,672","5,684","5,818","6,252"
"경기도 용인시 처인구 (4146100000)","283,122","28,153","1,521","1,533","1,458","1,582","1,702","1,755","1,809","1,982","2,205","2,397","2,527","2,439","2,482","2,761","144,909","14,298","764","755","727","812","887","882","920","1,023","1,131","1,213","1,317","1,230","1,252","1,385","138,213","13,855","757","778","731","770","815","873","889","959","1,074","1,184","1,210","1,209","1,230","1,376"
"경기도 용인시 처인구 포곡읍(4146125000)","31,005","2,263","89","94","83","93","95","110","118","149","176","189","239","252","262","314","16,060","1,180","51","56","44","50","47","59","67","74","93","100","120","129","133","157","14,945","1,083","38","38","39","43","48","51","51","75","83","89","119","123","129","157"
"경기도 용인시 처인구 모현읍(4146125300)","34,266","3,545","217","223","227","219","238","230","244","234","254","279","301","273","303","303","17,677","1,826","101","99","123","116","123","111","125","118","127","133","164","140","182","164","16,589","1,719","116","124","104","103","115","119","119","116","127","146","137","133","121","139"
"경기도 용인시 처인구 이동읍(4146125600)","19,082","1,456","51","55","56","58","71","92","94","81","127","144","139","166","146","176","9,821","724","17","31","25","31","32","45","47","39","65","74","73","85","68","92","9,261","732","34","24","31","27","39","47","47","42","62","70","66","81","78","84"
"경기도 용인시 처인구 남사읍(4146125900)","23,506","3,556","148","144","138","168","187","216","243","257","298","358","354","344","315","386","11,894","1,780","71","69","72","82","91","115","134","123","154","190","188","153","162","176","11,612","1,776","77","75","66","86","96","101","109","134","144","168","166","191","153","210"
"경기도 용인시 처인구 원삼면(4146134000)","7,708","337","10","10","13","11","14","17","16","25","36","33","31","40","37","44","4,069","166","6","5","5","6","7","9","8","12","14","17","15","23","14","25","3,639","171","4","5","8","5","7","8","8","13","22","16","16","17","23","19"
"경기도 용인시 처인구 백암면(4146135000)","7,683","255","4","9","13","16","8","8","19","24","26","27","21","25","28","27","4,223","143","0","7","4","10","4","5","9","12","16","17","10","15","19","15","3,460","112","4","2","9","6","4","3","10","12","10","10","11","10","9","12"
"경기도 용인시 처인구 양지면(4146136000)","21,849","1,768","105","119","95","118","86","117","93","121","140","126","147","157","172","172","11,393","905","55","61","40","51","47","50","50","64","79","62","76","87","86","97","10,456","863","50","58","55","67","39","67","43","57","61","64","71","70","86","75"
"경기도 용인시 처인구 중앙동(4146151000)","26,812","2,127","122","119","114","133","131","119","136","139","180","186","172","178","201","197","13,554","1,043","49","63","60","68","61","57","62","79","83","93","94","85","98","91","13,258","1,084","73","56","54","65","70","62","74","60","97","93","78","93","103","106"
"경기도 용인시 처인구 역북동(4146152500)","34,711","4,322","257","249","230","242","268","246","291","297","353","367","409","355","363","395","17,516","2,213","131","116","121","130","165","113","153","148","174","186","214","189","164","209","17,195","2,109","126","133","109","112","103","133","138","149","179","181","195","166","199","186"
"경기도 용인시 처인구 삼가동(4146152600)","11,929","1,072","64","44","57","67","68","57","61","65","89","88","108","78","99","127","5,915","546","33","21","25","32","27","32","32","28","47","38","57","48","58","68","6,014","526","31","23","32","35","41","25","29","37","42","50","51","30","41","59"
"경기도 용인시 처인구 유림1동(4146153500)","13,914","1,083","84","75","73","67","77","80","70","71","75","74","89","78","75","95","7,153","535","50","34","34","35","33","36","27","39","41","37","44","37","36","52","6,761","548","34","41","39","32","44","44","43","32","34","37","45","41","39","43"
"경기도 용인시 처인구 유림2동(4146153600)","38,404","5,625","341","358","332","361","420","424","379","460","382","462","444","424","404","434","19,323","2,844","184","177","158","185","226","232","178","258","197","229","231","203","190","196","19,081","2,781","157","181","174","176","194","192","201","202","185","233","213","221","214","238"
"경기도 용인시 처인구 동부동(4146154000)","12,253","744","29","34","27","29","39","39","45","59","69","64","73","69","77","91","6,311","393","16","16","16","16","24","18","28","29","41","37","31","36","42","43","5,942","351","13","18","11","13","15","21","17","30","28","27","42","33","35","48"
"경기도 용인시 기흥구 (4146300000)","434,701","46,291","2,174","2,135","2,082","2,304","2,460","2,555","2,948","3,144","3,487","4,172","4,479","4,487","4,650","5,214","213,991","23,756","1,083","1,122","1,052","1,162","1,284","1,322","1,508","1,594","1,837","2,158","2,306","2,289","2,379","2,660","220,710","22,535","1,091","1,013","1,030","1,142","1,176","1,233","1,440","1,550","1,650","2,014","2,173","2,198","2,271","2,554"
"경기도 용인시 기흥구 신갈동(4146351000)","36,303","3,382","288","246","195","197","186","194","209","200","240","253","279","284","299","312","18,075","1,700","143","127","88","93","99","96","105","104","120","130","146","149","147","153","18,228","1,682","145","119","107","104","87","98","104","96","120","123","133","135","152","159"
